,time,x,y,z,qx,qy,qz,qw,cov_pose_0,cov_pose_1,cov_pose_2,cov_pose_3,cov_pose_4,cov_pose_5,cov_pose_6,cov_pose_7,cov_pose_8,cov_pose_9,cov_pose_10,cov_pose_11,cov_pose_12,cov_pose_13,cov_pose_14,cov_pose_15,cov_pose_16,cov_pose_17,cov_pose_18,cov_pose_19,cov_pose_20,cov_pose_21,cov_pose_22,cov_pose_23,cov_pose_24,cov_pose_25,cov_pose_26,cov_pose_27,cov_pose_28,cov_pose_29,cov_pose_30,cov_pose_31,cov_pose_32,cov_pose_33,cov_pose_34,cov_pose_35
169,1582326899185089045,-1.4963487082,0.203852751831,-0.707028726502,-0.15411546270999998,0.00978871938675,0.326626652775,0.932452565987,0.06465566570799999,1.81270824525e-06,-0.0636506018021,-8.27000159816e-05,6.22950558816e-06,5.12568430329e-05,1.81270824526e-06,0.00100000005162,-1.8125640415400001e-06,-2.35502997554e-09,1.77396246157e-10,1.45962972751e-09,-0.0636506018021,-1.8125640415299999e-06,0.0646455382991,8.26934370685e-05,-6.22901002143e-06,-5.12527654724e-05,-8.27000159816e-05,-2.3550299755e-09,8.26934370685e-05,0.0010001074420099999,-8.09323421518e-09,-6.65917431048e-08,6.22950558815e-06,1.77396246171e-10,-6.229010021419999e-06,-8.09323421517e-09,0.00100000060964,5.01612521923e-09,5.12568430329e-05,1.4596297275000001e-09,-5.12527654724e-05,-6.65917431048e-08,5.01612521923e-09,0.0010000412730599999
170,1582326899285959866,-1.50281917653,0.19272831891,-0.709754920755,-0.15811012050999998,0.0102143982776,0.33650138016900005,0.9282585042229999,9.326529509610001,1.07695347164e-05,-9.325467046970001,-0.000984162507379,8.47290393782e-05,0.000636675268615,1.07695347148e-05,0.00100000001244,-1.07694625802e-05,-1.13655447421e-09,9.78488492183e-11,7.35260812839e-10,-9.325467046970001,-1.07694625818e-05,9.32640458475,0.000984155915433,-8.47284718609e-05,-0.000636671004148,-0.000984162507376,-1.13655447434e-09,0.0009841559154299998,0.00100010386283,-8.94181330466e-09,-6.719102953869999e-08,8.47290393791e-05,9.784884923870002e-11,-8.47284718618e-05,-8.94181330477e-09,0.00100000076982,5.78464567086e-09,0.000636675268615,7.35260812951e-10,-0.000636671004148,-6.719102953890001e-08,5.78464567079e-09,0.00100004346728
171,1582326899386564005,-1.5308979178,0.164852740207,-0.7187137530969999,-0.16066803560999998,0.010719191847399999,0.34415669257299997,0.925001206471,0.186441236512,1.156338395e-05,-0.185455440863,8.91149624965e-05,-1.53400895623e-05,-0.00013968822964,1.156338395e-05,0.00100000072105,-1.15642696773e-05,5.556857506e-09,-9.56547469e-10,-8.710406935330001e-09,-0.185455440863,-1.15642696773e-05,0.186469646302,-8.91217884874e-05,1.53412645761e-05,0.00013969892942100002,8.91149624966e-05,5.55685750601e-09,-8.91217884874e-05,0.00100004282476,-7.37177734437e-09,-6.71280648234e-08,-1.53400895622e-05,-9.56547469007e-10,1.5341264576e-05,-7.37177734438e-09,0.00100000126896,1.1555304493e-08,-0.00013968822964,-8.71040693538e-09,0.00013969892942100002,-6.71280648234e-08,1.1555304493e-08,0.00100010522364
172,1582326899478094815,-1.57351115996,0.11554610876700001,-0.73569122126,-0.164564365055,0.010867109673899998,0.350400666811,0.921965314926,0.252069111539,4.28491827401e-05,-0.251095524825,5.31173841699e-06,-3.48043820267e-05,-0.00023834402557599998,4.28491827402e-05,0.00100000731294,-4.28536906133e-05,9.065378401259999e-10,-5.93995540302e-09,-4.067743198e-08,-0.251095524825,-4.28536906132e-05,0.252121940889,-5.31229722911e-06,3.48080435607e-05,0.00023836910014099998,5.31173841689e-06,9.065378400810002e-10,-5.31229722901e-06,0.00100000011238,-7.363381817530001e-10,-5.0425204013499995e-09,-3.48043820267e-05,-5.93995540302e-09,3.48080435607e-05,-7.3633818174e-10,0.00100000482475,3.30403707133e-08,-0.00023834402557599998,-4.06774319799e-08,0.00023836910014099998,-5.04252040144e-09,3.30403707133e-08,0.00100022626389
173,1582326899568629183,-1.62264088815,0.0529063450476,-0.758771289304,-0.16566825728700002,0.011470892347500001,0.352915735246,0.920800272383,0.349953214359,-3.01704150349e-05,-0.348929905624,-9.631002417399999e-05,3.33865038314e-05,0.000199926007604,-3.01704150349e-05,0.00100000260853,3.0168399766999997e-05,8.32694264383e-09,-2.8865894788000002e-09,-1.72855568526e-08,-0.348929905624,3.0168399766999997e-05,0.349906598446,9.63035910342e-05,-3.33842737411e-05,-0.00019991265331499998,-9.63100241741e-05,8.32694264386e-09,9.63035910343e-05,0.00100002658127,-9.214573354780001e-09,-5.51789690798e-08,3.33865038314e-05,-2.88658947878e-09,-3.33842737412e-05,-9.21457335476e-09,0.00100000319429,1.9128152841799997e-08,0.00019992600760499997,-1.72855568526e-08,-0.00019991265331499998,-5.51789690798e-08,1.9128152841799997e-08,0.00100011454375
174,1582326899649137663,-1.6840662876499999,-0.0171787351936,-0.787695344508,-0.165838930758,0.0122934220451,0.352470140292,0.9209296029970001,0.15460514225400002,2.60019074384e-05,-0.15362174698,3.64628408168e-05,-2.48461539601e-05,-0.000132001369737,2.60019074384e-05,0.00100000440154,-2.60047182463e-05,6.17234161532e-09,-4.20589692499e-09,-2.23448730119e-08,-0.15362174698,-2.60047182463e-05,0.154638353501,-3.64667824523e-05,2.4848839831e-05,0.000132015639094,3.64628408169e-05,6.1723416153300005e-09,-3.64667824524e-05,0.0010000086555599999,-5.897988462259999e-09,-3.13345299623e-08,-2.48461539601e-05,-4.205896925e-09,2.4848839831e-05,-5.89798846223e-09,0.00100000401895,2.13516703106e-08,-0.000132001369737,-2.23448730119e-08,0.000132015639094,-3.13345299623e-08,2.13516703107e-08,0.00100011343606
175,1582326899719529479,-1.7483393364099997,-0.0910510248267,-0.814466997444,-0.165312127809,0.011028519135200001,0.353341962677,0.920706214868,0.029096843053,4.67098127712e-07,-0.0280953362473,-3.13601443628e-05,1.8533269432299998e-06,1.49064654581e-05,4.67098127712e-07,0.00100000000777,-4.67073077704e-07,-5.21349131238e-10,3.0810776269899997e-11,2.4781368117299996e-10,-0.0280953362473,-4.67073077704e-07,0.0290938295224,3.13584625495e-05,-1.85322755115e-06,-1.49056660392e-05,-3.13601443628e-05,-5.21349131265e-10,3.13584625495e-05,0.0010000350024600001,-2.0685811705299998e-09,-1.66377734261e-08,1.85332694322e-06,3.0810776269899997e-11,-1.8532275511400001e-06,-2.0685811705499998e-09,0.00100000012225,9.83261856486e-10,1.49064654581e-05,2.4781368117299996e-10,-1.49056660392e-05,-1.66377734261e-08,9.83261856495e-10,0.00100000790846
176,1582326899820137317,-1.8127961131900001,-0.162219847748,-0.840497074219,-0.164247908408,0.00921925389779,0.354145618698,0.920607787366,0.043707166117699994,-6.30091658398e-06,-0.042700878700299996,-4.42059742908e-05,8.83214793005e-06,5.25901727258e-05,-6.30091658399e-06,0.00100000092962,6.29998895295e-06,6.522047277800001e-09,-1.30307469268e-09,-7.759032537279999e-09,-0.042700878700299996,6.29998895295e-06,0.0436945922085,4.41994662165e-05,-8.83084764708e-06,-5.25824303163e-05,-4.42059742908e-05,6.52204727782e-09,4.41994662165e-05,0.00100004575738,-9.14211219851e-09,-5.4435825057e-08,8.83214793005e-06,-1.30307469269e-09,-8.83084764708e-06,-9.1421121985e-09,0.00100000182655,1.0876024503700001e-08,5.25901727258e-05,-7.759032537279999e-09,-5.25824303163e-05,-5.4435825057e-08,1.0876024503700001e-08,0.00100006476024
177,1582326899910620375,-1.87367448542,-0.226916262363,-0.8650918720799999,-0.16254586999,0.00772502466991,0.355850167602,0.920266264349,39.4650203162,0.00018528952546299998,-39.4642261602,0.0015223942154800002,-0.00027553138081599997,-0.00169550454412,0.00018528952545200002,0.00100000086996,-0.00018529049192099996,7.14787037603e-09,-1.29366137535e-09,-7.96064946917e-09,-39.4642261602,-0.000185290491932,39.4654320052,-0.00152240215628,0.000275532817986,0.00169551338785,0.0015223942154800002,7.14787037649e-09,-0.00152240215628,0.0010000587290399999,-1.0629109172799999e-08,-6.54070794006e-08,-0.000275531380814,-1.29366137542e-09,0.000275532817984,-1.0629109172799999e-08,0.0010000019237200002,1.18377373738e-08,-0.00169550454412,-7.960649469660001e-09,0.0016955133878599998,-6.54070794007e-08,1.1837737373899999e-08,0.00100007284447
178,1582326900001182689,-1.9256505760499998,-0.279291318418,-0.88899365579,-0.16336571261399999,0.00709944452895,0.358684030289,0.9190251234460001,0.0928385898814,6.71422213292e-07,-0.0918361411208,-5.07305111788e-05,3.1116625449999998e-06,2.49240196914e-05,6.71422213291e-07,0.00100000000491,-6.71404310661e-07,-3.70885399486e-10,2.27490356231e-11,1.82216870783e-10,-0.0918361411208,-6.71404310662e-07,0.0928336924255,5.07291585135e-05,-3.11157957642e-06,-2.49233551237e-05,-5.07305111788e-05,-3.70885399486e-10,5.07291585135e-05,0.00100002802291,-1.7188442432100002e-09,-1.3767722927899999e-08,3.11166254499e-06,2.27490356231e-11,-3.11157957642e-06,-1.7188442432300002e-09,0.00100000010543,8.444722272460001e-10,2.49240196914e-05,1.82216870783e-10,-2.49233551237e-05,-1.3767722927899999e-08,8.444722272469999e-10,0.00100000676411
